name,description,category,subcategory,subsubcategory,combatscore,runescore
"Archaeology 70","Reach level 70 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 80","Reach level 80 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 90","Reach level 90 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 92 (Halfway There)","Reach level 92 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 99","Reach level 99 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 110","Reach level 110 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 113 (Halfway There)","Reach level 113 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 120","Reach level 120 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Ardougne","Activate the lodestone in Ardougne.","Exploration","Members' Lodestones","N/A","N/A","5"
"Ardougne Express","Cast the Ardougne Teleport spell.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"Ardougne Set Tasks - Easy","Given by Doctor Orbon in Ardougne Church for completing all Easy Tasks in Ardougne.","Area Tasks","N/A","N/A","N/A","5"
"Ardougne Set Tasks - Elite","Given by Aleck in Yanille for completing all Elite Tasks in Ardougne.","Area Tasks","N/A","N/A","N/A","25"
"Ardougne Set Tasks - Hard","Given by Aleck in Yanille for completing all Hard Tasks in Ardougne.","Area Tasks","N/A","N/A","N/A","15"
"Ardougne Set Tasks - Medium","Given by the town crier in East Ardougne's market for completing all Medium Tasks in Ardougne.","Area Tasks","N/A","N/A","N/A","10"
"Are Yew As Fired Up As I Am?","Burn a yew log on the east gatehouse of Lumbridge Castle.","Area Tasks","Hard Lumbridge","N/A","N/A","15"
"Are You Being Served?","Talk to the chief servant at the servants' guild to find out about servants for your house.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Are You Chicken?","Kill a swordchick in the Tower of Life.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"Are You Graardone yet?","Defeat General Graardor in hard mode, solo, without being hit by damage reflected by his 'Graardor Protect' attack.","Combat","God Wars Dungeon","General Graardor","3","15"
"Are You Needing Access?","Gain access to the secret treasure room from 'Do No Evil'.","Lore","Post-Quest","N/A","N/A","10"
"Are You Not Entertained?","Obtained a collection of unique drops from TzKal-Zuk's challenge.","Feats","Boss Logs","N/A","N/A","0"
"Are You The Keymaster?","Add all valid keys to the steel key ring after 'One Small Favour'.","Lore","Post-Quest","N/A","N/A","20"
"Are You Winning, Zam? I","Defeat Zamorak, Lord of Chaos solo at 50% enrage.","Combat","Zamorak","N/A","N/A","5"
"Are You Winning, Zam? II","Defeat Zamorak at 100% enrage in a solo encounter.","Combat","Zamorak","N/A","N/A","10"
"Are You Winning, Zam? III","Defeat Zamorak at 250% enrage in a solo encounter.","Combat","Zamorak","N/A","N/A","15"
"Are You Winning, Zam? IV","Defeat Zamorak at 500% enrage in a solo encounter.","Combat","Zamorak","N/A","4","25"
"Are You Winning, Zam? V","Defeat Zamorak at 750% enrage in a solo encounter.","Combat","Zamorak","N/A","N/A","25"
"Are You Winning, Zam? VI","Defeat Zamorak at 1,000% enrage in a solo encounter.","Combat","Zamorak","N/A","5","40"
"Are You Winning, Zam? VII","Defeat Zamorak, Lord of Chaos solo at 2,000% enrage.","Combat","Zamorak","N/A","5","40"
"Arise from the Ash","Defeat the phoenix once, after 'In Pyre Need'.","Activities","Distractions & Diversions","N/A","N/A","10"
"Armadylean Expert","Restored a collection of Armadylean artefacts.","Skills","Archaeology","Armadylean","N/A","0"
"Around the Mound in Eighty Days","Defeat each of the original Barrows Brothers, without leaving the area.","Combat","Barrows Brothers","N/A","1","5"
"Around the World in Six Ways","Unlock all hot-air balloon travel routes. (X/6)","Lore","Post-Quest","N/A","N/A","15"
"Arriving in Style","Travel to Castle Wars by hot-air balloon.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"Art Critic Jacques: Anarchic Abstraction","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Art Critic Jacques: Imperial Impressionism","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Art Critic Jacques: Radiant Renaissance","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Artemis","Unlock the Artemis pet from completing Treasure Trails.","Activities","N/A","N/A","N/A","0"
"Artillery Strike","Use a catapult in Castle Wars after gaining the knowledge from the Catapult Construction quest.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"Artisan Crafting","Create a clay ring using the Draynor village pottery oven.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"As a First Resort","Complete this quest.","Lore","Quests","N/A","N/A","0"
"As Clear as a Crystal Seed","Unlock the Temple of Light teleport after 'Within the Light'.","Lore","Post-Quest","N/A","N/A","15"
"As Good As Renew","Farm and mix the ingredients for a prayer renewal potion entirely in Morytania.","Area Tasks","Elite Morytania","N/A","N/A","25"
"As Taxed as a Yak","Gain access to the Contraband Yak Produce shop.","Lore","Post-Quest","N/A","N/A","10"
"As You Might Expect","Craft blood runes at the Blood Altar.","Area Tasks","Elite Morytania","N/A","N/A","25"
"Ashdale","Activate the lodestone in Ashdale.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Assassin's Feed","Eagle-dive into a hay cart after completing Diamond in the Rough.","Area Tasks","Easy Desert","N/A","N/A","5"
"Assaulted Goodies","View the rewards in the Barbarian Assault tutorial.","Area Tasks","Easy Fremennik","N/A","N/A","5"
"Astellarn","Defeat Astellarn the First Celestial. (X/1)","Combat","Dragonkin Laboratory","Astellarn","N/A","0"
"Astellarn Competent Speed Killer","Defeat Astellarn solo in less than 01:30.","Combat","Dragonkin Laboratory","Astellarn","3","15"
"Astellarn Elite Speed Killer","Defeat Astellarn solo in less than 01:00.","Combat","Dragonkin Laboratory","Astellarn","4","25"
"Astrobotany Expert","Harvest a starbloom on Zolarea.","Exploration","Zolarea","N/A","N/A","10"
"Astronomical!","Craft at least 56 astral runes simultaneously, without using pouches or familiars.","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Asuran Arsenal: Clean Sweep","Open all chests and crack all safes in the Asuran Arsenal Heist before searching the rare chest.","Skills","Thieving","N/A","N/A","20"
"Asuran Arsenal: Smash 'n' Grab","Search the rare chest in the Asuran Arsenal Heist in 6 minutes or less.","Skills","Thieving","N/A","N/A","20"
"Asuran Arsenal: The Perfect Job","Search the rare chest in the Asuran Arsenal Heist without being caught by The Keeper or hit by traps.","Skills","Thieving","N/A","N/A","20"
"At Home on the Range","Teleport to the Ranging Guild.","Area Tasks","Hard Seers' Village","N/A","N/A","15"
"At Least It Doesn't Need Walking","Get a pet fish from Harry.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"At One Plus Fifty-Five With Nature","Craft 56 nature runes simultaneously, without using pouches or familiars.","Area Tasks","Elite Karamja","N/A","N/A","25"
"At One With Nature","Craft some nature runes.","Area Tasks","Hard Karamja","N/A","N/A","15"
"Atonement","Solve this mystery.","Skills","Archaeology","Armadylean","N/A","15"
"Attack - Sifu","Unlock the Attack pet.","Skills","Skilling Pets","N/A","N/A","0"
"Attack 5","Reach level 5 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 10","Reach level 10 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 20","Reach level 20 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 30","Reach level 30 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 40","Reach level 40 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 50","Reach level 50 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 60","Reach level 60 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 70","Reach level 70 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 80","Reach level 80 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 90","Reach level 90 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 92 (Halfway There)","Reach level 92 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 99","Reach level 99 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Attack 110","Reach virtual level 110 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","0"
"Attack 120","Reach virtual level 120 in the Attack skill.","Skills","Combat (Skills)","N/A","N/A","0"
"Attack of the Clones I","Defeat Kerapac in hard mode. (X/5)","Combat","Kerapac","N/A","N/A","5"
"Attack of the Clones II","Defeat Kerapac in hard mode. (X/10)","Combat","Kerapac","N/A","N/A","5"
"Attack of the Clones III","Defeat Kerapac in hard mode. (X/25)","Combat","Kerapac","N/A","4","25"
"Attack of the Clones IV","Defeat Kerapac in hard mode. (X/50)","Combat","Kerapac","N/A","N/A","5"
"Attack of the Clones V","Defeat Kerapac in hard mode. (X/75)","Combat","Kerapac","N/A","N/A","5"
"Attack of the Clones VI","Defeat Kerapac in hard mode. (X/100)","Combat","Kerapac","N/A","N/A","5"
"Aura Aura Aura!","Unlock the mentioned auras from War's store.","Combat","PvM Hub: War's Retreat","N/A","N/A","30"
"Ava","Unlock the Ava pet from the Twin Furies in the Heart of Gielinor.","Combat","Boss Pets","N/A","N/A","0"
"Avaryss' Avarice","Defeat the Twin Furies solo without being hit by Avaryss' 'Surge' attack.","Combat","Heart of Gielinor","Twin Furies","3","15"
"Avast Ardougne!","Travel to Ardougne via the port near Brimhaven.","Area Tasks","Easy Karamja","N/A","N/A","5"
"Away with the Kalphites","Travel to the fairy ring near the Kalphite Lair.","Area Tasks","Medium Desert","N/A","N/A","10"
"Axe'll Grease","Use Balmung to kill a dagannoth.","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Azacorax's Rewards","Speak to Azacorax after 'Rune Memories' and gain Magic or Prayer XP.","Lore","Post-Quest","Experience","N/A","10"
"Azdaran Birthright","Complete the Azdaran document.","Lore","Books","N/A","N/A","15"
"Azzanadra's Quest","Complete this quest.","Lore","Quests","N/A","N/A","0"
"B Sharp, Not Flat","Play and retune each of the harps in the Ithell Harmonium.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"B.Y.O.B.","Make an overload potion within The Last Call in the City of Um.","Area Tasks","Elite Underworld","N/A","N/A","25"
"Baby Osseous","Unlock the Baby Osseous pet from Osseous.","Combat","Boss Pets","N/A","N/A","0"
"Back Cran-door","Discover the hidden wall in the dungeon below the volcano.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Back In My Day...","Throw some money into the oasis.","Exploration","Het's Oasis","N/A","N/A","5"
"Back to my Roots","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Back to the Freezer","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Bad Breath Day","Defeat Vermyx, Brood Mother without being hit by her 'Wyrmfire' attack.","Combat","Sanctum of Rebirth","Vermyx","3","15"
"Bad Egg","Successfully breed an EVIL chicken.","Feats","Player Owned Farm","N/A","N/A","0"
"Bad Exchange Rate","Find and cast the Low alchemy spell on a piece of polished TokKul in TzKal-Zuk's arena.","Exploration","Senntisten","N/A","N/A","5"
"Bag of Herbs","Purchase the herb bag and the herb bag upgrade from the Herby Werby reward shop.","Exploration","Anachronia","N/A","N/A","10"
"Bagra","Unlock the Bagra pet from Orikalka.","Combat","Boss Pets","N/A","N/A","0"
"Bagsy Shooting Star","Be the first player to find a crashed star.","Activities","Distractions & Diversions","Shooting Star","N/A","5"
"Bakriminel Minds","Enchant each of the listed crossbow bolts.","Skills","Fletching","N/A","N/A","20"
"Balanced Combat Triangle","Solve a lockbox puzzle.","Activities","Treasure Trails","N/A","N/A","5"
"Bandit Camp","Activate the lodestone in the Bandit Camp.","Exploration","Members' Lodestones","N/A","N/A","5"
"Bandos's Memories","Recover all 14 of Bandos's memories on Yu'biusk.","Lore","Post-Quest","N/A","N/A","15"
"Bandosian Expert","Restored a collection of Bandosian artefacts.","Skills","Archaeology","Bandosian","N/A","0"
"Bane Tuner","Unlock the spell: Tune Banite Ore.","Skills","Magic","N/A","N/A","25"
"Banebane","Mine banite ore using a bane pickaxe +4 while wearing a full set of bane armour +4 and listening to the music track 'Bane of Summer'.","Skills","Mining","N/A","N/A","20"
"Bank-Z","Help Tiny Zemouregal to deface the three paintings of his master in the palace's heart vault.","Exploration","New Varrock","N/A","N/A","15"
"Banking History","Find all hidden treasure from the 'Making History' quest. (X/11)","Lore","Post-Quest","N/A","N/A","25"
"Banned For Life","Summon an ibis in Port Sarim's fishing store.","Area Tasks","Hard Falador","N/A","N/A","15"
"Bar Crawl (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","0"
"Barbarian Firemaking","Complete barbarian firemaking training with Otto, at his grotto west of Baxtorian Falls.","Activities","Barbarian Training","N/A","N/A","0"
"Barbarian Fishing","Complete barbarian fishing training with Otto, at his grotto west of Baxtorian Falls.","Activities","Barbarian Training","N/A","N/A","0"
"Barbarian Herblore","Complete barbarian herblore training with Otto, at his grotto west of Baxtorian Falls.","Activities","Barbarian Training","N/A","N/A","0"
"Barbarian Smithing","Complete barbarian smithing training with Otto, at his grotto west of Baxtorian Falls.","Activities","Barbarian Training","N/A","N/A","0"
"Bargain Hunter","View the Hunter equipment in Aleck's shop in Yanille.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Barking Up the Wrong Tree","Obtain some bark from hollow trees.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Baroo Quality","Defeat a Dagannoth King solo whilst wearing full yak-hide armour and a Fremennik round shield.","Combat","Dagannoth Kings","N/A","N/A","35"
"Barooooo!","Adopt a baby yak.","Skills","Farming","Manor Farm","N/A","10"
"Barrowed Power I","Defeat the empowered Barrows Brothers. (X/5)","Combat","Barrows: Rise of the Six","N/A","N/A","5"
"Barrowed Power II","Defeat the empowered Barrows Brothers. (X/10)","Combat","Barrows: Rise of the Six","N/A","N/A","5"
"Barrowed Power III","Defeat the empowered Barrows Brothers. (X/25)","Combat","Barrows: Rise of the Six","N/A","3","15"
"Barrowed Power IV","Defeat the empowered Barrows Brothers. (X/50)","Combat","Barrows: Rise of the Six","N/A","N/A","5"
"Barrowed Power V","Defeat the empowered Barrows Brothers. (X/75)","Combat","Barrows: Rise of the Six","N/A","N/A","5"
"Barrowed Power VI","Defeat the empowered Barrows Brothers. (X/100)","Combat","Barrows: Rise of the Six","N/A","N/A","5"
"Barrowed Time","Obtained a collection of unique drops from the Barrows Brothers.","Feats","Boss Logs","N/A","N/A","0"
"Barrows: Rise of the Six (perfect)","Defeat Barrows: Rise of the Six while completing the listed achievements.","Combat","Barrows: Rise of the Six","N/A","4","25"
"Barrows: Rise of the Six (solo)","Defeat Barrows: Rise of the Six solo.","Combat","Barrows: Rise of the Six","N/A","4","25"
"Barrows: Rise of the Six Competent Speed Killer","Defeat Barrows: Rise of the Six in a team of 4 or fewer in less than 01:00.","Combat","Barrows: Rise of the Six","N/A","3","15"
"Barrows: Rise of the Six Elite Speed Killer","Defeat Barrows: Rise of the Six in a team of 4 or fewer in less than 00:18.","Combat","Barrows: Rise of the Six","N/A","4","25"
"Barrows: Rise of the Six Master Speed Killer","Defeat Barrows: Rise of the Six in a team of 4 or fewer in less than 00:06.","Combat","Barrows: Rise of the Six","N/A","5","40"
"Barry","Unlock the Barry pet from Araxxi.","Combat","Boss Pets","N/A","N/A","0"
"Basic Soul Forgery","Upgrade a piece of Death Skull or Deathwarden equipment to tier 20.","Area Tasks","Easy Underworld","N/A","N/A","5"
"Battle of Forinthry","Complete this quest.","Lore","Quests","N/A","N/A","0"
